Rank 1,2	Country	Continent	Period	Average period decrease	2000	2007	2014	2022	Actual	Percentage
1–17	 Belarus	Europe	<5	<5	<5	<5	0.00	0.00
1–17	 Bosnia and Herzegovina	Europe	9.3	6.6	<5	<5	0.00	0.00
1–17	 Chile	South America	<5	<5	<5	<5	0.00	0.00
1–17	 China (more info)	Asia	13.3	7.8	<5	<5	0.00	0.00
1–17	 Croatia	Europe	<5	<5	<5	<5	0.00	0.00
1–17	 Estonia	Europe	<5	<5	<5	<5	0.00	0.00
1–17	 Hungary	Europe	5.5	<5	<5	<5	0.00	0.00
1–17	 Kuwait	Asia	<5	<5	<5	<5	0.00	0.00
1–17	 Latvia	Europe	5.6	<5	<5	<5	0.00	0.00
1–17	 Lithuania	Europe	5.4	<5	<5	<5	0.00	0.00
1–17	 Montenegro	Europe	—	5.4	<5	<5	0.00	0.00
1–17	 North Macedonia	Europe	7.5	7.2	<5	<5	0.00	0.00
1–17	 Romania	Europe	7.9	5.8	5.1	<5	0.00	0.00
1–17	 Serbia	Europe	—	6.1	5.8	<5	0.00	0.00
1–17	 Slovakia	Europe	7.0	5.9	5.7	<5	0.00	0.00
1–17	 Turkey	Europe	10.1	5.8	<5	<5	0.00	0.00
1–17	 Uruguay	South America	7.4	6.5	<5	<5	0.00	0.00
18	 Costa Rica	North America	7.0	<5	<5	5.3	0.00	0.00
18	 United Arab Emirates	Asia	6.2	6.5 Negative increase	5.9	5.3	0.30	4.85
20	 Brazil (more info)	South America	11.4	7.1	5.0	5.4 Negative increase	2.00	19.77
21	 Uzbekistan	Asia	24.2	15.4	8.3	5.6	6.20	38.33
22	 Georgia	Asia	12.3	7.8	6.1	5.7	2.20	21.65
22	 Mongolia	Asia	30.0	21.8	9.2	5.7	8.10	41.06
24	 Bulgaria	Europe	8.6	7.9	7.4	5.9	0.90	11.58
24	 Kazakhstan	Asia	11.2	11.6 Negative increase	5.8	5.9 Negative increase	1.77	14.90
26	 Tunisia	Africa	10.3	7.6	6.7	6.1	1.40	15.67
27	 Albania	Europe	14.5	11.7	8.9	6.9	2.53	21.90
28	 Russia		10.1	7.1	6.7	6.4	1.23	13.27
29	 Iran	Asia	13.7	7.8	7.4	6.5	2.40	20.12
30	 Saudi Arabia	Asia	11.0	12.2 Negative increase	7.4	6.7	1.43	12.63
31	 Argentina	South America	6.6	5.5	5.0	6.8 Negative increase	−0.07	−3.41
32	 Algeria (more info)	Africa	14.5	11.4	8.7	7.0	2.50	21.53
32	 Armenia	Europe	19.3	12.1	7.3	6.9	4.13	27.48
32	 Moldova	Europe	18.7	20.3 Negative increase	6.8	6.9 Negative increase	3.93	18.83
35	 Jamaica	North America	8.8	8.1	8.8 Negative increase	7.0	0.60	6.59
36	 Azerbaijan	Asia	24.9	15.3	9.3	7.5	5.80	32.37
36	 Ukraine (famine)	Europe	13.0	7.2	7.2	7.5 Negative increase	1.83	13.48
38	 Colombia	South America	10.9	11.2 Negative increase	8.6	7.6	1.10	10.70
38	 Peru	South America	20.6	15.0	7.6	7.6	4.33	25.51
40	 Kyrgyzstan	Asia	18.0	13.6	9.4	7.8	3.40	24.12
41	 Paraguay	South America	11.6	11.4	8.1	8.0	1.20	10.64
42	 Mexico (more info)	North America	10.2	8.5	7.0	8.1 Negative increase	0.70	6.20
42	 Panama	North America	18.6	14.0	9.4	8.1	3.50	23.81
44	 El Salvador	North America	14.7	12.1	10.4	8.4	2.10	16.99
45	 Dominican Republic	North America	15.0	13.9	9.8	8.8	2.07	15.68
46	 Trinidad and Tobago	North America	11.0	10.7	8.8	9.0 Negative increase	0.67	6.07
47	 Fiji	Oceania	9.5	8.5	9.3 Negative increase	9.2	0.10	0.73
47	 Morocco	Africa	15.8	12.4	9.6	9.2	2.20	16.09
49	 Turkmenistan	Asia	20.4	14.6	10.6	9.5	3.63	22.07
50	 Suriname	South America	15.1	11.3	10.0	10.2 Negative increase	1.63	11.56
51	 Guyana	South America	17.1	15.8	12.4	10.4	2.23	15.08
52	 Lebanon	Asia	11.6	11.2	8.7	10.5 Negative increase	0.37	1.69
53	 Jordan	Asia	10.8	7.5	7.4	10.6 Negative increase	0.07	−3.78
54	 Cape Verde	Africa	15.3	11.9	12.1 Negative increase	11.8	1.17	7.67
55	 Vietnam		26.3	21.4	15.4	11.9	4.80	23.13
56	 Thailand	Asia	18.6	12.1	11.9	12.0 Negative increase	2.20	11.92
57	 Egypt	Africa	18.1	17.6	12.7	12.3	1.93	11.25
58	 Malaysia	Asia	15.4	13.8	10.9	12.5 Negative increase	0.97	5.58
59	 South Africa	Africa	18.1	17.2	12.7	12.9 Negative increase	1.73	9.85
60	 Oman	Asia	14.7	11.5	11.5	13.0 Negative increase	0.57	2.91
61	 Bolivia	South America	27.7	22.0	14.7	13.2	4.83	21.32
62	 Honduras	North America	21.8	19.2	14.1	13.4	2.80	14.48
62	 Mauritius	Africa	15.3	14.1	13.0	13.4 Negative increase	0.63	4.19
64	 Nicaragua	North America	22.4	17.9	15.5	13.6	2.93	15.25
64	 Sri Lanka	Asia	21.7	18.9	17.3	13.6	2.70	14.25
66	 Iraq	Asia	23.8	20.8	16.6	13.7	3.37	16.76
67	 Ghana	Africa	28.5	22.1	15.5	13.9	4.87	20.88
67	 Tajikistan (famine)	Asia	40.3	32.9	20.6	13.9	8.80	29.42
69	 Philippines (more info)	Asia	25.0	19.5	18.8	14.8	3.40	15.62
70	 Ecuador	South America	19.7	18.6	11.7	15.2 Negative increase	1.50	4.26
71	 Myanmar	Asia	39.9	29.4	17.9	15.6	8.10	26.09
71	 Senegal	Africa	34.2	22.8	17.6	15.6	6.20	22.50
73	 Eswatini	Africa	24.7	22.9	18.4	16.3	2.80	12.78
74	 Ivory Coast	Africa	33.4	35.8 Negative increase	22.7	16.8	5.53	18.47
75	 Cambodia	Asia	41.1	26.1	20.1	17.1	8.00	24.80
76	 Gabon	Africa	20.9	20.3	16.5	17.2 Negative increase	1.23	5.78
77	 Indonesia	Asia	26.1	29.1 Negative increase	22.2	17.9	2.73	10.53
78	 Namibia	Africa	25.4	26.8 Negative increase	22.9	18.7	2.23	9.13
79	 Guatemala	North America	28.4	24.1	21.7	18.8	3.20	12.82
80	 Cameroon	Africa	35.8	29.9	21.4	18.9	5.63	18.86
81	   Nepal	Asia	37.0	30.0	21.2	19.1	5.97	19.39
82	 Laos		44.2	31.4	22.5	19.2	8.33	23.99
83	 Solomon Islands	Oceania	20.1	18.1	22.3 Negative increase	19.4	0.23	−0.08
84	 Bangladesh (more info) (famine)	Asia	33.9	31.1	26.3	19.6	4.77	16.39
85	 Venezuela (more info)	South America	14.6	10.1	8.1	19.9 Negative increase	−1.77	−31.69
86	 Botswana	Africa	27.7	25.8	20.5	20.0	2.57	9.95
87	 Gambia	Africa	29.0	26.5	22.7	20.7	2.77	10.59
87	 Malawi (more info) (famine)	Africa	43.3	32.5	24.1	20.7	7.53	21.63
87	 Mauritania	Africa	31.8	28.3	26.3	20.7	3.70	13.12
90	 Djibouti	Africa	44.3	35.8	27.4	21.5	7.60	21.39
91	 Benin (more info)	Africa	33.8	26.9	23.2	21.7	4.03	13.54
92	 Togo	Africa	39.3	30.2	26.1	22.8	5.50	16.46
93	 Mali	Africa	41.7	35.7	26.1	23.2	6.17	17.46
94	 Kenya	Africa	36.6	31.1	21.6	23.5 Negative increase	4.37	12.26
95	 Tanzania (more info)	Africa	40.8	30.9	25.5	23.6	5.73	16.40
96	 Burkina Faso (more info)	Africa	44.9	34.5	26.5	24.5	6.80	17.97
97	 North Korea (famine)	Asia	39.5	19-6	27.5 Negative increase	24.9	0.87	−210.05
98	 Angola	Africa	64.9	44.7	26.2	25.9	13.00	24.55
99	 Pakistan	Asia	36.8	32.1	29.6	26.1	3.57	10.79
100	 Papua New Guinea	Oceania	33.6	29.9	29.0	26.3	2.43	7.78
101	 Comoros	Africa	39.5	31.7	29.1	26.9	4.20	11.84
102	 Rwanda	Africa	49.9	35.9	29.5	27.2	7.57	17.89
103	 Nigeria (more info)	Africa	40.4	32.1	28.4	27.3	4.37	11.98
104	 Ethiopia (more info) (famine)	Africa	53.6	42.6	27.4	27.6 Negative increase	8.67	18.49
105	 Congo		34.7	33.7	25.3	28.1 Negative increase	2.20	5.58
106	 Sudan (famine)	Africa	—	—	29.3	28.8	0.00	0.00
107	 India (more info) (famine)	Asia	38.8	36.3	28.2	29.1 Negative increase	3.23	8.52
108	 Zambia	Africa	53.3	46.0	35.2	29.3	8.00	17.98
109	 Afghanistan (more info)	Asia	50.3	38.7	30.6	29.9	6.80	15.43
110	 East Timor	Asia	—	45.5	33.3	30.6	0.00	0.00
111	 Guinea-Bissau	Africa	37.7	31.0	30.2	30.8 Negative increase	2.30	6.12
112	 Sierra Leone	Africa	57.5	51.1	33.1	31.5	8.67	17.06
113	 Lesotho	Africa	32.7	29.1	29.3 Negative increase	32.4 Negative increase	0.10	−0.09
113	 Liberia	Africa	48.2	39.0	34.8	32.4	5.27	12.25
115	 Niger	Africa	52.5	39.0	32.8	32.6	6.63	14.07
116	 Haiti	North America	40.9	41.7 Negative increase	32.6	32.7 Negative increase	2.73	6.52
*	 Guinea	Africa	—	—	—	20-34.9*	0.00	0.00
*	 Mozambique (more info)	Africa	—	—	—	20-34.9*	0.00	0.00
*	 Uganda	Africa	—	—	—	20-34.9*	0.00	0.00
*	 Zimbabwe (more info) (famine)	Africa	—	—	—	20-34.9*	0.00	0.00
117	 Chad (more info) (famine)	Africa	50.7	49.0	40.7	37.2	4.50	9.63
118	 DR Congo		48.0	43.2	38.7	37.8	3.40	7.58
119	 Madagascar (more info)	Africa	42.5	37.2	37.3 Negative increase	38.7 Negative increase	1.27	2.82
120	 Central African Republic	Africa	48.8	46.8	44.6	44.0	1.60	3.38
121	 Yemen (famine)	Asia	41.3	38.4	41.7 Negative increase	45.1 Negative increase	−1.27	−3.24
*	 Burundi	Africa	—	—	—	35-49.9*	0.00	0.00
*	 Somalia (famine)	Africa	—	—	—	35-49.9*	0.00	0.00
*	 South Sudan	Africa	—	—	—	35-49.9*	0.00	0.00
*	 Syria (more info) (famine)	Asia	—	—	—	35-49.9*	0.00	0.00